,index,Unnamed: 0,None,ticker,date,open,high,low,close,volume
0,0,0,249,AAPL,2023-04-03,164.27,166.29,164.22,166.17,54893192.0
1,1,1,248,AAPL,2023-04-04,166.595,166.84,165.11,165.63,44435155.0
2,2,2,247,AAPL,2023-04-05,164.74,165.05,161.8,163.76,51416166.0
3,3,3,246,AAPL,2023-04-06,162.43,164.9584,162.0,164.66,45390123.0
4,4,4,245,AAPL,2023-04-10,161.42,162.03,160.08,162.03,47026287.0
5,5,5,244,AAPL,2023-04-11,162.35,162.36,160.51,160.8,46298026.0
6,6,6,243,AAPL,2023-04-12,161.22,162.06,159.78,160.1,48348151.0
7,7,7,242,AAPL,2023-04-13,161.63,165.8,161.42,165.56,67156588.0
8,8,8,241,AAPL,2023-04-14,164.59,166.32,163.82,165.21,48081262.0
9,9,9,240,AAPL,2023-04-17,165.09,165.39,164.03,165.23,40713618.0
10,10,10,239,AAPL,2023-04-18,166.1,167.41,165.65,166.47,48417320.0
11,11,11,238,AAPL,2023-04-19,165.8,168.16,165.54,167.63,47237478.0
12,12,12,237,AAPL,2023-04-20,166.09,167.87,165.56,166.65,52216709.0
13,13,13,236,AAPL,2023-04-21,165.05,166.4521,164.49,165.02,56828963.0
14,14,14,235,AAPL,2023-04-24,165.0,165.6,163.89,165.33,38958536.0
15,15,15,234,AAPL,2023-04-25,165.19,166.305,163.73,163.77,48166078.0
16,16,16,233,AAPL,2023-04-26,163.055,165.28,162.8,163.76,44122192.0
17,17,17,232,AAPL,2023-04-27,165.19,168.56,165.19,168.41,64232732.0
18,18,18,231,AAPL,2023-04-28,168.49,169.85,167.8801,169.68,55096276.0
19,19,19,230,AAPL,2023-05-01,169.28,170.45,168.64,169.59,49391604.0
20,20,20,229,AAPL,2023-05-02,170.09,170.35,167.54,168.54,47986184.0
21,21,21,228,AAPL,2023-05-03,169.5,170.92,167.16,167.45,59438769.0
22,22,22,227,AAPL,2023-05-04,164.89,167.04,164.31,165.79,70216187.0
23,23,23,226,AAPL,2023-05-05,170.975,174.3,170.76,173.57,112913525.0
24,24,24,225,AAPL,2023-05-08,172.48,173.85,172.11,173.5,50868643.0
25,25,25,224,AAPL,2023-05-09,173.05,173.54,171.6,171.77,45129781.0
