,None,ticker,date,open,high,low,close,volume
0,249,GOOG,2023-04-03,102.67,104.95,102.38,104.91,20644485.0
1,248,GOOG,2023-04-04,104.84,106.1,104.6,105.12,20299970.0
2,247,GOOG,2023-04-05,106.12,106.54,104.1021,104.95,21796705.0
3,246,GOOG,2023-04-06,105.77,109.63,104.815,108.9,34565375.0
4,245,GOOG,2023-04-10,107.39,107.97,105.6,106.95,19678585.0
5,244,GOOG,2023-04-11,106.92,107.22,105.28,106.12,18688911.0
6,243,GOOG,2023-04-12,107.39,107.5874,104.97,105.22,22693023.0
7,242,GOOG,2023-04-13,106.47,108.265,106.44,108.19,21582990.0
8,241,GOOG,2023-04-14,107.69,109.58,107.59,109.46,20679905.0
9,240,GOOG,2023-04-17,105.43,106.71,105.32,106.42,28978949.0
10,239,GOOG,2023-04-18,107.0,107.05,104.78,105.12,17591912.0
11,238,GOOG,2023-04-19,104.215,105.725,103.8,105.02,16678651.0
12,237,GOOG,2023-04-20,104.65,106.8875,104.64,105.9,22400353.0
13,236,GOOG,2023-04-21,106.09,106.64,105.485,105.91,22319026.0
14,235,GOOG,2023-04-24,106.05,107.32,105.36,106.78,20800136.0
15,234,GOOG,2023-04-25,106.61,107.44,104.56,104.61,29419213.0
16,233,GOOG,2023-04-26,105.56,107.02,103.27,104.45,36669820.0
17,232,GOOG,2023-04-27,105.23,109.15,104.42,108.37,37947587.0
18,231,GOOG,2023-04-28,107.8,108.29,106.04,108.22,23893650.0
19,230,GOOG,2023-05-01,107.72,108.68,107.5,107.71,20883516.0
20,229,GOOG,2023-05-02,107.66,107.73,104.5,105.98,20250649.0
21,228,GOOG,2023-05-03,106.22,108.13,105.62,106.12,16960272.0
22,227,GOOG,2023-05-04,106.16,106.3,104.7,105.21,19680665.0
23,226,GOOG,2023-05-05,105.32,106.44,104.7386,106.215,20623894.0
24,225,GOOG,2023-05-08,105.795,108.42,105.79,108.24,16449053.0
25,224,GOOG,2023-05-09,108.78,110.595,107.725,107.94,24687909.0
26,223,GOOG,2023-05-10,108.55,113.51,108.48,112.28,47286299.0
27,222,GOOG,2023-05-11,115.86,118.44,114.9301,116.9,57075333.0
28,221,GOOG,2023-05-12,117.0,118.26,116.55,117.92,31189189.0
29,220,GOOG,2023-05-15,116.49,118.795,116.48,116.96,22041163.0
30,219,GOOG,2023-05-16,116.83,121.2,116.83,120.09,32290166.0
31,218,GOOG,2023-05-17,120.18,122.28,119.46,121.48,26529294.0
32,217,GOOG,2023-05-18,121.56,123.9,121.49,123.52,26889427.0
33,216,GOOG,2023-05-19,124.2,126.479,122.72,123.25,29344036.0
34,215,GOOG,2023-05-22,123.51,127.05,123.45,125.87,29635496.0
35,214,GOOG,2023-05-23,124.93,125.42,123.05,123.29,24339870.0
36,213,GOOG,2023-05-24,121.88,122.7499,120.75,121.64,22334497.0
37,212,GOOG,2023-05-25,125.21,125.98,122.9,124.35,33268295.0
38,211,GOOG,2023-05-26,124.065,126.0,123.29,125.43,25049228.0
39,210,GOOG,2023-05-30,126.29,126.38,122.89,124.64,27109605.0
40,209,GOOG,2023-05-31,123.7,124.9,123.1,123.37,39469671.0
41,208,GOOG,2023-06-01,123.5,125.04,123.3,124.37,24264388.0
42,207,GOOG,2023-06-02,124.49,126.745,124.35,125.23,19284133.0
43,206,GOOG,2023-06-05,124.61,127.99,124.38,126.63,22561260.0
44,205,GOOG,2023-06-06,126.6,128.88,125.97,127.91,19206140.0
45,204,GOOG,2023-06-07,127.575,129.55,122.63,122.94,32894596.0
46,203,GOOG,2023-06-08,122.585,123.73,122.01,122.67,24307330.0
47,202,GOOG,2023-06-09,122.56,124.285,122.42,122.87,20224659.0
48,201,GOOG,2023-06-12,123.395,124.75,122.35,124.35,22091599.0
49,200,GOOG,2023-06-13,125.65,125.86,123.845,124.43,19118497.0
50,199,GOOG,2023-06-14,123.8,124.79,122.16,124.38,24578050.0
51,198,GOOG,2023-06-15,123.88,126.16,123.14,125.79,24470340.0
52,197,GOOG,2023-06-16,126.7,126.7,123.79,124.06,55038404.0
53,196,GOOG,2023-06-20,123.535,125.175,122.83,123.85,22663293.0
54,195,GOOG,2023-06-21,123.235,123.41,120.86,121.26,22384621.0
55,194,GOOG,2023-06-22,120.66,123.935,119.6,123.87,20588119.0
56,193,GOOG,2023-06-23,122.04,123.44,121.86,123.02,29541315.0
57,192,GOOG,2023-06-26,121.4656,122.72,118.99,119.09,22975394.0
58,191,GOOG,2023-06-27,117.84,119.895,116.91,119.01,26910479.0
59,190,GOOG,2023-06-28,117.96,121.27,117.6,121.08,19711073.0
60,189,GOOG,2023-06-29,120.09,120.91,119.21,120.01,18485332.0
61,188,GOOG,2023-06-30,121.1,122.03,120.88,120.97,23741688.0
62,187,GOOG,2023-07-03,120.32,121.02,119.705,120.56,13886229.0
63,186,GOOG,2023-07-05,120.06,123.37,120.06,122.63,17783250.0
64,185,GOOG,2023-07-06,120.64,121.1499,119.2499,120.93,17401782.0
65,184,GOOG,2023-07-07,120.89,121.75,120.09,120.14,20945661.0
66,183,GOOG,2023-07-10,119.07,119.07,116.64,116.87,32834863.0
67,182,GOOG,2023-07-11,116.76,118.225,115.83,117.71,18068100.0
68,181,GOOG,2023-07-12,119.3,120.96,119.0,119.62,21705298.0
69,180,GOOG,2023-07-13,121.54,125.335,121.06,124.83,31371560.0
70,179,GOOG,2023-07-14,125.13,127.09,124.9,125.7,20474277.0
71,178,GOOG,2023-07-17,126.06,127.28,124.5,125.06,20504036.0
72,177,GOOG,2023-07-18,124.905,124.99,123.3,124.08,20887469.0
73,176,GOOG,2023-07-19,124.79,125.47,122.47,122.78,22189914.0
74,175,GOOG,2023-07-20,122.12,124.7,118.685,119.53,27348955.0
75,174,GOOG,2023-07-21,120.87,121.3,119.07,120.31,55486605.0
76,173,GOOG,2023-07-24,121.926,123.35,121.38,121.88,21333269.0
77,172,GOOG,2023-07-25,121.88,123.69,121.53,122.79,28610433.0
78,171,GOOG,2023-07-26,130.36,131.37,128.71,129.66,46014461.0
79,170,GOOG,2023-07-27,131.8,133.6,129.18,129.87,35864128.0
80,169,GOOG,2023-07-28,130.97,134.07,130.92,133.01,26705907.0
81,168,GOOG,2023-07-31,133.01,133.83,132.13,133.11,18183129.0
82,167,GOOG,2023-08-01,130.855,132.92,130.75,131.89,22087699.0
83,166,GOOG,2023-08-02,129.84,130.42,127.85,128.64,22459781.0
84,165,GOOG,2023-08-03,128.37,129.77,127.775,128.77,14887716.0
