,None,ticker,date,open,high,low,close,volume
0,249,META,2023-04-03,208.84,213.4861,208.2,213.07,17887238.0
1,248,META,2023-04-04,213.39,216.24,212.54,214.72,20977958.0
2,247,META,2023-04-05,214.15,215.19,209.94,211.48,19331864.0
3,246,META,2023-04-06,209.25,216.94,208.65,216.1,26104411.0
4,245,META,2023-04-10,214.71,215.66,210.66,214.75,15841652.0
5,244,META,2023-04-11,215.48,216.02,213.41,213.85,16348387.0
6,243,META,2023-04-12,214.835,216.84,212.584,214.0,18859583.0
7,242,META,2023-04-13,215.73,221.15,215.69,220.35,23233212.0
8,241,META,2023-04-14,217.88,222.11,217.55,221.49,21532908.0
9,240,META,2023-04-17,219.79,220.979,217.13,218.86,15411724.0
10,239,META,2023-04-18,219.91,220.44,216.21,217.89,12209744.0
11,238,META,2023-04-19,213.472,217.33,212.93,215.7,15798567.0
12,237,META,2023-04-20,213.48,216.75,212.77,213.07,16426551.0
13,236,META,2023-04-21,210.21,213.41,209.58,212.89,17670990.0
14,235,META,2023-04-24,213.675,213.92,210.71,212.79,14357160.0
15,234,META,2023-04-25,210.815,211.26,207.13,207.55,18605536.0
16,233,META,2023-04-26,212.5,214.11,208.88,209.4,35185227.0
17,232,META,2023-04-27,239.89,241.685,236.77,238.56,70784741.0
18,231,META,2023-04-28,239.01,240.43,235.75,240.32,39181238.0
19,230,META,2023-05-01,238.615,244.0,236.46,243.18,29059445.0
20,229,META,2023-05-02,243.18,244.92,238.99,239.24,23169301.0
21,228,META,2023-05-03,239.47,241.75,232.75,237.03,33947181.0
22,227,META,2023-05-04,236.06,238.2,232.9264,233.52,17791031.0
23,226,META,2023-05-05,232.24,234.68,229.85,232.78,26906204.0
24,225,META,2023-05-08,231.415,235.62,230.27,233.27,14946565.0
25,224,META,2023-05-09,231.46,235.88,231.08,233.37,16825199.0
26,223,META,2023-05-10,236.17,236.75,230.72,233.08,18705122.0
27,222,META,2023-05-11,233.05,238.21,232.3,235.79,20380106.0
28,221,META,2023-05-12,236.74,236.9599,231.45,233.81,16142268.0
29,220,META,2023-05-15,236.92,240.255,235.33,238.86,20618908.0
30,219,META,2023-05-16,235.79,239.635,235.52,238.82,18114421.0
31,218,META,2023-05-17,238.45,243.8423,238.14,242.485,21140588.0
32,217,META,2023-05-18,241.3,247.0881,241.19,246.85,22813308.0
33,216,META,2023-05-19,247.47,248.69,243.41,245.64,21597153.0
34,215,META,2023-05-22,245.41,253.57,245.12,248.32,27486372.0
35,214,META,2023-05-23,246.81,251.61,246.65,246.74,17670494.0
36,213,META,2023-05-24,245.28,249.5892,244.952,249.21,17318273.0
37,212,META,2023-05-25,253.4,255.62,249.17,252.69,21989756.0
38,211,META,2023-05-26,252.93,262.3107,252.71,262.04,25768663.0
39,210,META,2023-05-30,265.25,268.65,261.29,262.52,23690443.0
40,209,META,2023-05-31,260.0,265.0,258.45,264.72,25361238.0
41,208,META,2023-06-01,265.9,274.0,265.89,272.61,25282488.0
42,207,META,2023-06-02,272.66,275.35,271.12,272.61,19347544.0
43,206,META,2023-06-05,270.3,275.57,269.56,271.39,20570383.0
44,205,META,2023-06-06,270.14,276.57,269.69,271.12,19261029.0
45,204,META,2023-06-07,271.67,274.25,262.8,263.6,25495231.0
46,203,META,2023-06-08,260.62,267.65,258.88,264.58,20759056.0
47,202,META,2023-06-09,262.48,267.949,261.7,264.95,16879645.0
48,201,META,2023-06-12,267.17,271.75,265.33,271.05,15384567.0
49,200,META,2023-06-13,274.88,275.72,269.0923,271.32,16086191.0
50,199,META,2023-06-14,271.89,274.99,268.315,273.35,18881655.0
51,198,META,2023-06-15,272.3,283.99,271.42,281.83,25849519.0
52,197,META,2023-06-16,284.75,287.85,280.13,281.0,43127731.0
53,196,META,2023-06-20,278.73,284.8,276.22,284.33,20668630.0
54,195,META,2023-06-21,283.53,284.0,278.36,281.64,19918615.0
