,Unnamed: 0,None,ticker,date,open,high,low,close,volume
0,0,249,MSFT,2023-04-03,286.52,288.27,283.95,287.23,24844145.0
1,1,248,MSFT,2023-04-04,287.23,290.4499,285.67,287.18,25778841.0
2,2,247,MSFT,2023-04-05,285.85,287.15,282.92,284.34,22005929.0
3,3,246,MSFT,2023-04-06,283.21,292.08,282.03,291.6,29770334.0
4,4,245,MSFT,2023-04-10,289.208,289.6,284.71,289.39,23028795.0
5,5,244,MSFT,2023-04-11,285.75,285.98,281.64,282.83,27198545.0
6,6,243,MSFT,2023-04-12,284.79,287.01,281.96,283.49,27315494.0
7,7,242,MSFT,2023-04-13,283.59,289.9,283.17,289.84,24132151.0
8,8,241,MSFT,2023-04-14,287.0,288.48,283.69,286.14,20950260.0
9,9,240,MSFT,2023-04-17,289.93,291.6,286.16,288.8,23791151.0
10,10,239,MSFT,2023-04-18,291.57,291.755,287.01,288.37,20102171.0
11,11,238,MSFT,2023-04-19,285.99,289.05,284.54,288.45,17074248.0
12,12,237,MSFT,2023-04-20,285.25,289.03,285.08,286.11,23188509.0
13,13,236,MSFT,2023-04-21,285.01,286.27,283.0608,285.76,21549625.0
14,14,235,MSFT,2023-04-24,282.09,284.95,278.72,281.77,26505966.0
15,15,234,MSFT,2023-04-25,279.51,281.6,275.37,275.42,40205224.0
16,16,233,MSFT,2023-04-26,296.7,299.57,292.73,295.37,64491004.0
17,17,232,MSFT,2023-04-27,295.97,305.2,295.25,304.83,46238023.0
18,18,231,MSFT,2023-04-28,304.01,308.93,303.31,307.26,36004448.0
19,19,230,MSFT,2023-05-01,306.97,308.6,305.15,305.56,21252788.0
20,20,229,MSFT,2023-05-02,307.76,309.18,303.91,305.41,26320444.0
21,21,228,MSFT,2023-05-03,306.62,308.61,304.09,304.4,22157529.0
22,22,227,MSFT,2023-05-04,306.24,307.7626,303.4,305.41,22198119.0
23,23,226,MSFT,2023-05-05,305.72,311.97,304.27,310.65,27765818.0
24,24,225,MSFT,2023-05-08,310.13,310.2,306.09,308.65,21269047.0
25,25,224,MSFT,2023-05-09,308.0,310.04,306.31,307.0,21193731.0
26,26,223,MSFT,2023-05-10,308.62,313.0,307.67,312.31,30015189.0
27,27,222,MSFT,2023-05-11,310.1,311.12,306.2601,310.11,31093535.0
28,28,221,MSFT,2023-05-12,310.55,310.65,306.6,308.97,19735538.0
29,29,220,MSFT,2023-05-15,309.095,309.905,307.59,309.46,16289987.0
30,30,219,MSFT,2023-05-16,309.83,313.71,309.83,311.74,25572661.0
31,31,218,MSFT,2023-05-17,312.29,314.43,310.74,314.0,23238758.0
32,32,217,MSFT,2023-05-18,314.53,319.04,313.72,318.52,26365215.0
33,33,216,MSFT,2023-05-19,316.74,318.75,316.37,318.34,25729700.0
34,34,215,MSFT,2023-05-22,318.6,322.59,318.01,321.18,23050033.0
35,35,214,MSFT,2023-05-23,320.03,322.72,315.25,315.26,29933701.0
36,36,213,MSFT,2023-05-24,314.73,316.5,312.61,313.85,22003827.0
37,37,212,MSFT,2023-05-25,323.24,326.9,320.0,325.92,41892341.0
38,38,211,MSFT,2023-05-26,324.02,333.4,323.88,332.89,36630633.0
39,39,210,MSFT,2023-05-30,335.23,335.74,330.52,331.21,29408583.0
40,40,209,MSFT,2023-05-31,332.29,335.94,327.33,328.39,44377459.0
41,41,208,MSFT,2023-06-01,325.93,333.53,324.72,332.58,25802850.0
42,42,207,MSFT,2023-06-02,334.247,337.5,332.55,335.4,25380238.0
43,43,206,MSFT,2023-06-05,335.22,338.5599,334.6601,335.94,21110310.0
44,44,205,MSFT,2023-06-06,335.33,335.37,332.17,333.68,20208910.0
45,45,204,MSFT,2023-06-07,331.65,334.49,322.5,323.38,40586948.0
46,46,203,MSFT,2023-06-08,323.935,326.64,323.35,325.26,22816205.0
47,47,202,MSFT,2023-06-09,324.99,329.99,324.41,326.79,22449391.0
48,48,201,MSFT,2023-06-12,328.58,332.0999,325.16,331.85,24181216.0
49,49,200,MSFT,2023-06-13,334.465,336.98,330.39,334.29,22661323.0
50,50,199,MSFT,2023-06-14,334.34,339.04,332.81,337.34,25830260.0
51,51,198,MSFT,2023-06-15,337.48,349.84,337.2,348.1,38611655.0
52,52,197,MSFT,2023-06-16,351.32,351.47,341.95,342.33,46551985.0
53,53,196,MSFT,2023-06-20,339.31,342.08,335.86,338.05,26008525.0
54,54,195,MSFT,2023-06-21,336.37,337.73,332.07,333.56,24865845.0
55,55,194,MSFT,2023-06-22,334.12,340.12,333.34,339.71,23029941.0
56,56,193,MSFT,2023-06-23,334.36,337.96,333.45,335.02,23088290.0
57,57,192,MSFT,2023-06-26,333.72,336.11,328.49,328.6,21253977.0
58,58,191,MSFT,2023-06-27,331.86,336.15,329.3,334.57,23683061.0
59,59,190,MSFT,2023-06-28,334.66,337.98,333.81,335.85,19518302.0
60,60,189,MSFT,2023-06-29,334.71,336.11,332.62,335.05,16857077.0
61,61,188,MSFT,2023-06-30,337.75,342.73,337.2,340.54,26248581.0
62,62,187,MSFT,2023-07-03,339.19,340.9,336.571,337.99,12508692.0
63,63,186,MSFT,2023-07-05,335.09,341.65,334.7276,338.15,18066431.0
64,64,185,MSFT,2023-07-06,337.3,342.99,335.5,341.27,28015345.0
65,65,184,MSFT,2023-07-07,339.32,341.79,337.0,337.22,21023430.0
66,66,183,MSFT,2023-07-10,334.6,335.23,327.59,331.83,32727737.0
67,67,182,MSFT,2023-07-11,331.06,332.86,327.0,332.47,26641196.0
68,68,181,MSFT,2023-07-12,336.6,341.652,335.67,337.2,29350312.0
69,69,180,MSFT,2023-07-13,339.56,343.74,339.02,342.66,20503425.0
70,70,179,MSFT,2023-07-14,347.59,351.43,344.31,345.24,28164279.0
71,71,178,MSFT,2023-07-17,345.678,346.99,342.2,345.73,20033153.0
72,72,177,MSFT,2023-07-18,345.83,366.78,342.17,359.49,64517489.0
73,73,176,MSFT,2023-07-19,361.75,362.46,352.435,355.08,39554300.0
74,74,175,MSFT,2023-07-20,353.57,357.97,345.37,346.87,32781591.0
75,75,174,MSFT,2023-07-21,349.15,350.3,339.83,343.77,67598837.0
76,76,173,MSFT,2023-07-24,345.85,346.92,342.31,345.11,25663714.0
77,77,172,MSFT,2023-07-25,347.11,351.89,345.07,350.98,34844789.0
78,78,171,MSFT,2023-07-26,341.44,344.67,333.11,337.77,57925432.0
79,79,170,MSFT,2023-07-27,340.48,341.33,329.05,330.72,39417847.0
80,80,169,MSFT,2023-07-28,333.67,340.01,333.17,338.37,28115200.0
81,81,168,MSFT,2023-07-31,336.92,337.695,333.36,335.92,25335376.0
82,82,167,MSFT,2023-08-01,335.19,338.54,333.7,336.34,18154497.0
83,83,166,MSFT,2023-08-02,333.63,333.63,326.3551,327.5,27427895.0
84,84,165,MSFT,2023-08-03,326.0,329.88,325.95,326.66,17946334.0
85,85,164,MSFT,2023-08-04,331.88,335.14,327.24,327.78,23511551.0
86,86,163,MSFT,2023-08-07,328.37,331.11,327.52,330.11,17654755.0
87,87,162,MSFT,2023-08-08,326.96,328.75,323.0,326.05,22190554.0
88,88,161,MSFT,2023-08-09,326.47,327.11,321.0499,322.23,19117830.0
89,89,160,MSFT,2023-08-10,326.015,328.26,321.18,322.93,19997146.0
90,90,159,MSFT,2023-08-11,320.26,322.41,319.21,321.01,22392640.0
91,91,158,MSFT,2023-08-14,321.39,324.06,320.08,324.04,18535457.0
92,92,157,MSFT,2023-08-15,323.0,325.09,320.9034,321.86,16797673.0
93,93,156,MSFT,2023-08-16,320.8,324.42,319.8035,320.4,19550575.0
94,94,155,MSFT,2023-08-17,320.54,321.87,316.21,316.88,20219991.0
95,95,154,MSFT,2023-08-18,314.49,318.38,311.5508,316.48,24146059.0
96,96,153,MSFT,2023-08-21,317.93,322.77,317.04,321.88,21776443.0
97,97,152,MSFT,2023-08-22,325.5,326.075,321.46,322.46,16049997.0
98,98,151,MSFT,2023-08-23,323.82,329.2,323.46,327.0,19447391.0
99,99,150,MSFT,2023-08-24,332.85,332.98,319.96,319.97,21482464.0
100,100,149,MSFT,2023-08-25,321.47,325.36,318.8001,322.98,20672312.0
101,101,148,MSFT,2023-08-28,325.66,326.15,321.722,323.7,14556595.0
102,102,147,MSFT,2023-08-29,321.88,328.9835,321.88,328.41,19047371.0
103,103,146,MSFT,2023-08-30,328.67,329.81,326.445,328.79,14995349.0
104,104,145,MSFT,2023-08-31,329.2,330.9099,326.78,327.76,26260479.0
105,105,144,MSFT,2023-09-01,331.31,331.99,326.78,328.66,14942024.0
106,106,143,MSFT,2023-09-05,329.0,334.85,328.66,333.55,18088089.0
107,107,142,MSFT,2023-09-06,333.38,334.46,330.18,332.88,17349959.0
108,108,141,MSFT,2023-09-07,331.29,333.08,329.03,329.91,17810435.0
109,109,140,MSFT,2023-09-08,330.09,336.16,329.46,334.27,19264969.0
110,110,139,MSFT,2023-09-11,337.24,338.42,335.43,337.94,15861034.0
111,111,138,MSFT,2023-09-12,335.815,336.79,331.48,331.77,17161511.0
112,112,137,MSFT,2023-09-13,331.31,336.85,331.17,336.06,16468519.0
113,113,136,MSFT,2023-09-14,339.148,340.86,336.57,338.7,20234842.0
114,114,135,MSFT,2023-09-15,336.92,337.3975,329.65,330.22,36811614.0
115,115,134,MSFT,2023-09-18,327.8,330.4,326.36,329.06,16629220.0
116,116,133,MSFT,2023-09-19,326.17,329.39,324.51,328.65,16486122.0
117,117,132,MSFT,2023-09-20,329.51,329.59,320.51,320.77,20165192.0
118,118,131,MSFT,2023-09-21,319.26,325.3499,315.0,319.53,34450337.0
119,119,130,MSFT,2023-09-22,321.32,321.45,316.15,317.01,21126411.0
120,120,129,MSFT,2023-09-25,316.59,317.67,315.0,317.54,16534590.0
121,121,128,MSFT,2023-09-26,315.13,315.88,310.02,312.14,26057557.0
122,122,127,MSFT,2023-09-27,312.3,314.299,309.69,312.79,19394439.0
123,123,126,MSFT,2023-09-28,310.99,315.48,309.45,313.64,19279853.0
124,124,125,MSFT,2023-09-29,317.75,319.47,314.98,315.75,24077197.0
125,125,124,MSFT,2023-10-02,316.28,321.888,315.18,321.8,19838007.0
126,126,123,MSFT,2023-10-03,320.83,321.39,311.215,313.39,20593231.0
127,127,122,MSFT,2023-10-04,314.03,320.04,314.0,318.955,20248118.0
128,128,121,MSFT,2023-10-05,319.09,319.98,314.9,319.36,16935458.0
129,129,120,MSFT,2023-10-06,316.55,329.19,316.3,327.26,24987484.0
130,130,119,MSFT,2023-10-09,324.75,330.3,323.18,329.82,19844103.0
131,131,118,MSFT,2023-10-10,330.96,331.1,327.67,328.39,20522950.0
132,132,117,MSFT,2023-10-11,331.21,332.82,329.14,332.42,19823609.0
133,133,116,MSFT,2023-10-12,330.565,333.6299,328.72,331.16,19265430.0
134,134,115,MSFT,2023-10-13,332.38,333.83,326.36,327.73,21056617.0
135,135,114,MSFT,2023-10-16,331.05,336.14,330.6,332.64,22099153.0
136,136,113,MSFT,2023-10-17,329.59,333.46,327.41,332.06,17979348.0
137,137,112,MSFT,2023-10-18,332.49,335.59,328.3,330.11,22935477.0
138,138,111,MSFT,2023-10-19,332.15,336.88,330.91,331.32,24909519.0
139,139,110,MSFT,2023-10-20,331.72,331.92,325.45,326.67,24978562.0
140,140,109,MSFT,2023-10-23,325.47,332.725,324.39,329.32,24261072.0
141,141,108,MSFT,2023-10-24,331.3,331.84,327.6,330.53,27477452.0
142,142,107,MSFT,2023-10-25,345.02,346.2,337.62,340.67,54458561.0
143,143,106,MSFT,2023-10-26,340.54,341.63,326.94,327.89,37233327.0
144,144,105,MSFT,2023-10-27,330.425,336.72,328.4007,329.81,29805162.0
145,145,104,MSFT,2023-10-30,333.41,339.45,331.83,337.31,22800874.0
146,146,103,MSFT,2023-10-31,338.85,339.0,334.69,338.11,19752965.0
147,147,102,MSFT,2023-11-01,339.79,347.42,339.65,346.07,27916095.0
148,148,101,MSFT,2023-11-02,347.24,348.83,344.77,348.32,24216919.0
149,149,100,MSFT,2023-11-03,349.63,354.39,347.33,352.8,23455974.0
150,150,99,MSFT,2023-11-06,353.45,357.54,353.35,356.53,23816166.0
151,151,98,MSFT,2023-11-07,359.4,362.46,357.63,360.53,25736687.0
152,152,97,MSFT,2023-11-08,361.68,363.87,360.55,363.2,25733324.0
153,153,96,MSFT,2023-11-09,362.3,364.79,360.362,360.69,23817876.0
154,154,95,MSFT,2023-11-10,361.49,370.1,361.07,369.67,26894295.0
155,155,94,MSFT,2023-11-13,368.22,368.47,365.9,366.68,19935482.0
156,156,93,MSFT,2023-11-14,371.01,371.95,367.3454,370.27,26803609.0
157,157,92,MSFT,2023-11-15,371.28,373.13,367.11,369.67,26130105.0
158,158,91,MSFT,2023-11-16,370.96,376.35,370.18,376.17,26425128.0
159,159,90,MSFT,2023-11-17,373.61,374.37,367.0,369.85,40108984.0
160,160,89,MSFT,2023-11-20,371.22,378.87,371.0,377.44,50939114.0
161,161,88,MSFT,2023-11-21,375.67,376.2215,371.12,373.07,27479903.0
162,162,87,MSFT,2023-11-22,378.0,379.7899,374.965,377.85,23361184.0
163,163,86,MSFT,2023-11-24,377.33,377.97,375.135,377.43,9378315.0
164,164,85,MSFT,2023-11-27,376.78,380.64,376.2,378.61,22110801.0
165,165,84,MSFT,2023-11-28,378.35,383.0,378.16,382.7,20323882.0
166,166,83,MSFT,2023-11-29,383.76,384.3,377.44,378.85,24358627.0
167,167,82,MSFT,2023-11-30,378.49,380.09,375.47,378.91,28761030.0
168,168,81,MSFT,2023-12-01,376.76,378.16,371.31,374.51,30223088.0
169,169,80,MSFT,2023-12-04,369.1,369.52,362.9,369.14,31941123.0
170,170,79,MSFT,2023-12-05,366.45,373.075,365.621,372.52,22919612.0
171,171,78,MSFT,2023-12-06,373.54,374.18,368.03,368.8,21041126.0
172,172,77,MSFT,2023-12-07,368.23,371.4527,366.32,370.95,22878503.0
173,173,76,MSFT,2023-12-08,369.2,374.46,368.23,374.23,20087863.0
174,174,75,MSFT,2023-12-11,368.48,371.6,366.1,371.3,27663434.0
175,175,74,MSFT,2023-12-12,370.85,374.42,370.46,374.38,24500667.0
176,176,73,MSFT,2023-12-13,376.02,377.6361,370.77,374.37,30360138.0
177,177,72,MSFT,2023-12-14,373.31,373.76,364.13,365.93,43069703.0
178,178,71,MSFT,2023-12-15,366.85,372.4,366.28,370.73,72300798.0
179,179,70,MSFT,2023-12-18,369.45,373.0,368.68,372.65,20612228.0
180,180,69,MSFT,2023-12-19,371.49,373.26,369.84,373.26,20533284.0
181,181,68,MSFT,2023-12-20,375.0,376.03,370.53,370.62,26023549.0
182,182,67,MSFT,2023-12-21,372.56,374.41,370.04,373.54,17698769.0
183,183,66,MSFT,2023-12-22,373.68,375.18,372.71,374.58,17107484.0
184,184,65,MSFT,2023-12-26,375.0,376.94,373.5,374.66,12651370.0
185,185,64,MSFT,2023-12-27,373.69,375.06,372.8116,374.07,14872959.0
186,186,63,MSFT,2023-12-28,375.37,376.458,374.16,375.28,14187902.0
187,187,62,MSFT,2023-12-29,376.0,377.16,373.48,376.04,18730838.0
188,188,61,MSFT,2024-01-02,373.86,375.9,366.771,370.87,24824827.0
189,189,60,MSFT,2024-01-03,369.01,373.2562,368.51,370.6,21799113.0
190,190,59,MSFT,2024-01-04,370.665,373.1,367.17,367.94,20675519.0
191,191,58,MSFT,2024-01-05,368.97,372.06,366.5,367.75,20001922.0
192,192,57,MSFT,2024-01-08,369.3,375.2,369.01,374.69,22306312.0
193,193,56,MSFT,2024-01-09,372.01,375.99,371.19,375.79,20572682.0
194,194,55,MSFT,2024-01-10,376.37,384.17,376.32,382.77,25173523.0
195,195,54,MSFT,2024-01-11,386.0,390.68,380.38,384.63,27421649.0
196,196,53,MSFT,2024-01-12,385.49,388.68,384.65,388.47,21661153.0
197,197,52,MSFT,2024-01-16,393.66,394.03,387.6229,390.27,26922444.0
198,198,51,MSFT,2024-01-17,387.98,390.11,384.81,389.47,21454040.0
199,199,50,MSFT,2024-01-18,391.72,393.99,390.12,393.87,21984493.0
200,200,49,MSFT,2024-01-19,395.76,398.67,393.5,398.67,27759247.0
201,201,48,MSFT,2024-01-22,400.02,400.62,393.59,396.51,24314063.0
202,202,47,MSFT,2024-01-23,395.75,399.38,393.93,398.9,18230907.0
203,203,46,MSFT,2024-01-24,401.54,405.63,400.45,402.56,23281889.0
204,204,45,MSFT,2024-01-25,404.32,407.01,402.5294,404.87,20942238.0
205,205,44,MSFT,2024-01-26,404.37,406.17,402.43,403.93,17581732.0
206,206,43,MSFT,2024-01-29,406.06,409.98,404.33,409.72,23293066.0
207,207,42,MSFT,2024-01-30,412.26,413.05,406.4501,408.59,29444857.0
208,208,41,MSFT,2024-01-31,406.96,415.32,397.21,397.58,46777099.0
209,209,40,MSFT,2024-02-01,401.83,408.0,401.8,403.78,29229284.0
210,210,39,MSFT,2024-02-02,403.81,412.65,403.56,411.22,27653887.0
211,211,38,MSFT,2024-02-05,409.9,411.16,403.99,405.65,25052953.0
212,212,37,MSFT,2024-02-06,405.88,407.97,402.91,405.49,18265592.0
213,213,36,MSFT,2024-02-07,407.44,414.3,407.4,414.05,22262598.0
214,214,35,MSFT,2024-02-08,414.05,415.56,412.53,414.11,20554530.0
215,215,34,MSFT,2024-02-09,415.25,420.82,415.09,420.55,21765519.0
216,216,33,MSFT,2024-02-12,420.555,420.74,414.75,415.26,20434175.0
217,217,32,MSFT,2024-02-13,404.94,410.071,403.39,406.32,27219439.0
218,218,31,MSFT,2024-02-14,408.07,409.84,404.57,409.49,20218173.0
219,219,30,MSFT,2024-02-15,408.14,409.13,404.29,406.56,21739894.0
220,220,29,MSFT,2024-02-16,407.96,408.29,403.44,404.06,21696264.0
221,221,28,MSFT,2024-02-20,403.24,404.49,398.01,402.79,24041834.0
222,222,27,MSFT,2024-02-21,400.17,402.29,397.22,402.18,17850304.0
223,223,26,MSFT,2024-02-22,410.19,412.83,408.57,411.65,25682489.0
224,224,25,MSFT,2024-02-23,415.67,415.86,408.97,410.34,16181134.0
225,225,24,MSFT,2024-02-26,411.455,412.16,407.36,407.54,15929912.0
226,226,23,MSFT,2024-02-27,407.99,408.32,403.85,407.48,14808550.0
227,227,22,MSFT,2024-02-28,408.175,409.3,405.3201,407.72,13082424.0
228,228,21,MSFT,2024-02-29,408.64,414.2,405.92,413.64,31732678.0
229,229,20,MSFT,2024-03-01,411.27,415.87,410.88,415.5,17604672.0
230,230,19,MSFT,2024-03-04,413.44,417.35,412.32,414.92,17121002.0
231,231,18,MSFT,2024-03-05,413.96,414.25,400.64,402.65,26778475.0
232,232,17,MSFT,2024-03-06,402.97,405.16,398.39,402.09,22158335.0
233,233,16,MSFT,2024-03-07,406.12,409.78,402.24,409.14,18221414.0
234,234,15,MSFT,2024-03-08,407.96,410.42,404.33,406.22,17320090.0
235,235,14,MSFT,2024-03-11,403.762,405.68,401.26,404.52,15998511.0
236,236,13,MSFT,2024-03-12,407.62,415.57,406.79,415.28,21563656.0
237,237,12,MSFT,2024-03-13,418.1,418.18,411.45,415.1,16990048.0
238,238,11,MSFT,2024-03-14,420.24,427.82,417.99,425.22,33962218.0
239,239,10,MSFT,2024-03-15,419.29,422.6,412.79,416.42,43738698.0
240,240,9,MSFT,2024-03-18,414.25,420.73,413.78,417.32,20051276.0
