,None,ticker,date,open,high,low,close,volume
0,249,MSTR,2023-04-03,290.99,300.9999,288.16,297.39,760840.0
1,248,MSTR,2023-04-04,299.58,301.36,285.7429,298.98,622364.0
2,247,MSTR,2023-04-05,303.45,307.0,283.51,290.84,811223.0
3,246,MSTR,2023-04-06,286.51,295.48,278.37,290.1,424903.0
4,245,MSTR,2023-04-10,290.0,312.94,285.0,312.78,995021.0
5,244,MSTR,2023-04-11,321.91,337.82,318.095,332.35,1424585.0
6,243,MSTR,2023-04-12,334.25,335.745,318.3401,322.83,879661.0
7,242,MSTR,2023-04-13,330.42,345.0,327.0,340.72,1109381.0
8,241,MSTR,2023-04-14,342.85,347.63,324.61,333.75,869971.0
9,240,MSTR,2023-04-17,321.73,322.47,312.2,313.03,765284.0
10,239,MSTR,2023-04-18,325.0,334.0,324.0,329.85,997898.0
11,238,MSTR,2023-04-19,319.88,321.9909,312.9,314.72,614149.0
12,237,MSTR,2023-04-20,310.27,312.9,292.27,294.71,823266.0
13,236,MSTR,2023-04-21,297.34,300.5,287.74,291.02,655063.0
14,235,MSTR,2023-04-24,291.03,297.9532,283.0,285.33,567168.0
15,234,MSTR,2023-04-25,282.36,296.89,280.15,290.91,559736.0
16,233,MSTR,2023-04-26,310.5,321.64,296.3,299.46,1067466.0
17,232,MSTR,2023-04-27,306.51,318.88,296.0101,318.64,1008931.0
18,231,MSTR,2023-04-28,313.04,328.98,308.09,328.38,754706.0
19,230,MSTR,2023-05-01,320.0,323.3591,304.2361,307.47,900767.0
20,229,MSTR,2023-05-02,310.14,332.9265,305.13,328.01,1370474.0
21,228,MSTR,2023-05-03,320.49,321.89,301.68,304.25,1176977.0
22,227,MSTR,2023-05-04,311.15,321.19,307.5,312.235,712279.0
23,226,MSTR,2023-05-05,313.0,328.7199,312.0,326.72,907129.0
24,225,MSTR,2023-05-08,311.15,311.745,294.0,294.67,1039177.0
25,224,MSTR,2023-05-09,297.51,310.0,289.63,303.43,721318.0
26,223,MSTR,2023-05-10,313.24,325.65,305.0,315.11,1291700.0
27,222,MSTR,2023-05-11,311.35,311.35,284.76,287.37,1536085.0
28,221,MSTR,2023-05-12,284.9,286.59,266.51,271.0,1075695.0
29,220,MSTR,2023-05-15,280.0,286.88,276.0,282.5,649274.0
30,219,MSTR,2023-05-16,277.5,282.9999,272.3713,273.44,463606.0
31,218,MSTR,2023-05-17,271.49,291.05,269.2603,290.57,608606.0
32,217,MSTR,2023-05-18,289.0,297.21,280.0112,287.58,666650.0
33,216,MSTR,2023-05-19,290.9,291.96,282.575,288.28,371769.0
34,215,MSTR,2023-05-22,287.78,297.06,286.02,294.12,589713.0
35,214,MSTR,2023-05-23,299.19,301.2,288.26,289.33,642005.0
36,213,MSTR,2023-05-24,282.0,286.9479,276.63,284.43,804562.0
37,212,MSTR,2023-05-25,287.91,288.84,272.85,280.99,877012.0
38,211,MSTR,2023-05-26,279.8,294.89,279.2,285.1,652597.0
39,210,MSTR,2023-05-30,300.1,313.64,296.75,299.27,943857.0
40,209,MSTR,2023-05-31,294.01,302.77,289.0,301.63,622366.0
