None,ticker,date,open,high,low,close,volume
0,TEAM,2024-04-01,195.2,196.4,192.32,193.37,921668.0
1,TEAM,2024-03-28,192.79,195.6,191.35,195.11,1120678.0
2,TEAM,2024-03-27,194.01,194.365,191.14,193.14,918820.0
3,TEAM,2024-03-26,195.1,195.1,191.65,192.0,1673933.0
4,TEAM,2024-03-25,191.94,194.13,189.5,193.265,2221941.0
5,TEAM,2024-03-22,196.45,196.545,191.27,192.53,2225155.0
6,TEAM,2024-03-21,199.55,201.0658,196.86,197.26,1644959.0
7,TEAM,2024-03-20,195.09,196.69,193.22,196.22,2656137.0
8,TEAM,2024-03-19,193.07,197.4,189.865,196.43,2295016.0
9,TEAM,2024-03-18,196.12,198.45,195.0,197.01,1862694.0
10,TEAM,2024-03-15,201.05,203.08,194.0,194.43,3153370.0
11,TEAM,2024-03-14,207.34,207.34,200.69,202.7,1827094.0
12,TEAM,2024-03-13,215.49,215.5,207.49,207.73,2225851.0
13,TEAM,2024-03-12,215.68,217.82,213.295,217.36,1165559.0
14,TEAM,2024-03-11,210.37,216.64,208.95,215.63,1695350.0
15,TEAM,2024-03-08,204.4,211.075,204.4,208.8,1780819.0
16,TEAM,2024-03-07,200.0,203.6,195.65,202.96,1470259.0
17,TEAM,2024-03-06,199.94,200.87,194.08,198.14,1062154.0
18,TEAM,2024-03-05,203.95,205.23,193.47,196.33,1698518.0
19,TEAM,2024-03-04,209.48,209.48,203.37,207.6,1033987.0
20,TEAM,2024-03-01,207.42,209.41,204.29,209.2,1561792.0
21,TEAM,2024-02-29,205.66,209.44,205.0,207.42,1784396.0
22,TEAM,2024-02-28,203.62,208.49,202.0,207.05,1133245.0
23,TEAM,2024-02-27,205.82,208.65,204.15,205.82,769324.0
24,TEAM,2024-02-26,203.76,207.1,201.59,204.66,896380.0
25,TEAM,2024-02-23,205.5,207.49,204.33,204.44,822901.0
26,TEAM,2024-02-22,209.1,210.38,204.2,205.43,1075786.0
27,TEAM,2024-02-21,201.01,205.51,199.95,204.11,1405600.0
28,TEAM,2024-02-20,205.55,206.49,201.0501,204.78,1764883.0
29,TEAM,2024-02-16,212.33,214.0,207.19,207.84,1327020.0
30,TEAM,2024-02-15,215.9,216.65,212.24,213.12,1794692.0
31,TEAM,2024-02-14,212.4,216.09,209.31,215.89,1290732.0
32,TEAM,2024-02-13,205.0,213.87,203.2701,210.07,1717774.0
33,TEAM,2024-02-12,218.26,221.0,216.09,216.17,1112888.0
34,TEAM,2024-02-09,214.33,220.99,211.245,218.76,2075465.0
35,TEAM,2024-02-08,208.84,216.39,208.84,212.29,2031855.0
36,TEAM,2024-02-07,214.11,215.695,208.5,209.46,1584128.0
37,TEAM,2024-02-06,216.14,216.47,205.83,211.26,2712928.0
38,TEAM,2024-02-05,216.52,220.4315,213.0972,215.05,2867001.0
39,TEAM,2024-02-02,230.13,231.5586,211.05,217.39,9307594.0
40,TEAM,2024-02-01,253.5,256.88,250.93,254.9,2194437.0
41,TEAM,2024-01-31,252.98,257.0,248.34,249.77,2039789.0
42,TEAM,2024-01-30,254.8,258.69,252.96,257.43,1502972.0
43,TEAM,2024-01-29,246.63,257.15,246.63,255.67,1805361.0
44,TEAM,2024-01-26,242.32,249.4999,241.14,247.79,1421412.0
45,TEAM,2024-01-25,246.73,247.08,240.2,244.35,1644746.0
46,TEAM,2024-01-24,254.09,254.09,242.66,243.08,1400889.0
47,TEAM,2024-01-23,248.12,248.8799,243.83,248.45,1580054.0
48,TEAM,2024-01-22,249.0,253.83,244.57,245.59,2281158.0
49,TEAM,2024-01-19,240.55,243.4751,238.0,242.96,1021566.0
50,TEAM,2024-01-18,240.58,241.92,236.5,239.42,1086309.0
51,TEAM,2024-01-17,237.7,238.53,231.92,236.97,1389484.0
