None,ticker,date,close,open,high,low,volume
0,TSLA,2024-04-01,175.22,176.17,176.75,170.21,80787094.0
1,TSLA,2024-03-28,175.79,177.45,179.57,175.3,77065480.0
2,TSLA,2024-03-27,179.83,181.41,181.91,176.0,80940130.0
3,TSLA,2024-03-26,177.67,178.58,184.25,177.38,112351857.0
4,TSLA,2024-03-25,172.63,168.76,175.24,168.73,73773929.0
5,TSLA,2024-03-22,170.83,166.69,171.2,166.3,74975851.0
6,TSLA,2024-03-21,172.82,176.39,178.18,171.8,72399411.0
7,TSLA,2024-03-20,175.66,173.0,176.25,170.82,82810784.0
8,TSLA,2024-03-19,171.32,172.36,172.82,167.42,76849176.0
9,TSLA,2024-03-18,173.8,170.02,174.72,165.9,107081427.0
10,TSLA,2024-03-15,163.57,163.16,165.1845,160.76,96610023.0
11,TSLA,2024-03-14,162.5,167.77,171.17,160.51,125520563.0
12,TSLA,2024-03-13,169.48,173.05,176.05,169.15,105298629.0
13,TSLA,2024-03-12,177.54,177.77,179.43,172.4101,87082250.0
14,TSLA,2024-03-11,177.77,175.445,182.87,174.8,85013157.0
15,TSLA,2024-03-08,175.34,181.5,182.73,174.7,84906230.0
16,TSLA,2024-03-07,178.65,174.35,180.04,173.7,101542854.0
17,TSLA,2024-03-06,176.54,179.99,181.576,173.7,106624579.0
18,TSLA,2024-03-05,180.74,183.05,184.59,177.57,119184789.0
19,TSLA,2024-03-04,188.14,198.73,199.75,186.72,133227899.0
20,TSLA,2024-03-01,202.64,200.52,204.52,198.5,81867977.0
21,TSLA,2024-02-29,201.88,204.18,205.28,198.4463,85286906.0
22,TSLA,2024-02-28,202.04,200.42,205.3,198.44,98837299.0
23,TSLA,2024-02-27,199.73,204.04,205.6,198.26,108398622.0
24,TSLA,2024-02-26,199.4,192.29,201.78,192.0,111295439.0
25,TSLA,2024-02-23,191.97,195.31,197.57,191.5,78355622.0
26,TSLA,2024-02-22,197.41,194.0,198.32,191.36,92431822.0
27,TSLA,2024-02-21,194.77,193.36,199.44,191.95,102386262.0
28,TSLA,2024-02-20,193.76,196.13,198.6,189.13,103893852.0
29,TSLA,2024-02-16,199.95,202.06,203.17,197.4,110828320.0
30,TSLA,2024-02-15,200.45,189.16,200.88,188.8595,119393277.0
31,TSLA,2024-02-14,188.71,185.3,188.89,183.35,79777950.0
32,TSLA,2024-02-13,184.02,183.99,187.26,182.1087,86422238.0
33,TSLA,2024-02-12,188.13,192.11,194.73,187.28,94997757.0
34,TSLA,2024-02-09,193.57,190.18,194.12,189.48,84155717.0
35,TSLA,2024-02-08,189.56,189.0,191.6171,185.58,82774551.0
36,TSLA,2024-02-07,187.58,188.18,189.79,182.68,111136404.0
37,TSLA,2024-02-06,185.1,177.21,186.49,177.11,122117818.0
38,TSLA,2024-02-05,181.06,184.26,184.68,175.01,133493303.0
39,TSLA,2024-02-02,187.91,185.04,188.69,182.0,110049352.0
40,TSLA,2024-02-01,188.86,188.5,189.88,184.28,90671796.0
41,TSLA,2024-01-31,187.29,186.995,193.97,185.8459,102264671.0
42,TSLA,2024-01-30,191.59,195.33,196.3593,190.61,105537551.0
43,TSLA,2024-01-29,190.93,185.63,191.48,183.67,123600528.0
44,TSLA,2024-01-26,183.25,185.5,186.78,182.1,106701713.0
45,TSLA,2024-01-25,182.63,189.7,193.0,180.06,197429304.0
46,TSLA,2024-01-24,207.83,211.88,212.73,206.77,112930989.0
47,TSLA,2024-01-23,209.14,211.3,215.65,207.7516,105836397.0
48,TSLA,2024-01-22,208.8,212.26,217.8,206.27,116708827.0
49,TSLA,2024-01-19,212.19,209.99,213.19,207.56,101652315.0
50,TSLA,2024-01-18,211.88,216.88,217.45,208.74,107808476.0
51,TSLA,2024-01-17,215.55,214.86,215.67,212.01,102578598.0
52,TSLA,2024-01-16,219.91,215.1,223.49,212.18,114848933.0
53,TSLA,2024-01-12,218.89,220.08,225.34,217.1501,122837260.0
54,TSLA,2024-01-11,227.22,230.57,230.93,225.37,104795555.0
55,TSLA,2024-01-10,233.94,235.1,235.5,231.29,91319916.0
56,TSLA,2024-01-09,234.96,238.11,238.9646,232.04,96343153.0
57,TSLA,2024-01-08,240.45,236.14,241.25,235.3,84753053.0
58,TSLA,2024-01-05,237.49,236.86,240.1196,234.9001,92240035.0
59,TSLA,2024-01-04,237.93,239.25,242.7,237.73,102227391.0
60,TSLA,2024-01-03,238.45,244.98,245.68,236.32,120505767.0
61,TSLA,2024-01-02,248.42,250.08,251.25,244.41,104072491.0
62,TSLA,2023-12-29,248.48,255.1,255.19,247.43,100350856.0
63,TSLA,2023-12-28,253.18,263.66,265.13,252.71,112526847.0
64,TSLA,2023-12-27,261.44,258.35,263.34,257.52,105568876.0
65,TSLA,2023-12-26,256.61,254.49,257.97,252.91,86636303.0
66,TSLA,2023-12-22,252.54,256.76,258.22,251.37,93059002.0
67,TSLA,2023-12-21,254.5,251.9,254.7999,248.55,109112102.0
68,TSLA,2023-12-20,247.14,256.41,259.84,247.0,124128790.0
69,TSLA,2023-12-19,257.22,253.48,258.3399,253.01,106507385.0
70,TSLA,2023-12-18,252.08,253.78,258.74,251.36,115313837.0
71,TSLA,2023-12-15,253.5,251.21,254.13,248.3,135338265.0
72,TSLA,2023-12-14,251.05,241.22,253.88,240.79,160468850.0
73,TSLA,2023-12-13,239.29,234.19,240.3,228.2,145284320.0
74,TSLA,2023-12-12,237.01,238.55,238.99,233.87,94923561.0
75,TSLA,2023-12-11,239.74,242.74,243.441,237.45,97577402.0
